

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


27/10/2024 10:10:58 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:10:58 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:10:58 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:10:59 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:10:59 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:10:59 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:10:59 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:10:59 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:10:59 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:10:59 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:10:59 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:10:59 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/10/2024 10:10:59 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/10/2024 10:10:59 ||| RECEIVER-2   ||  BIT RECEIVED : 1
27/10/2024 10:10:59 ||| RECEIVER-4   ||  BIT RECEIVED : 1
27/10/2024 10:10:59 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:10:59 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:10:59 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:10:59 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:10:59 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:10:59 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:10:59 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:10:59 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:10:59 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:10:59 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:10:59 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:10:59 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:11:00 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:11:00 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:11:00 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:11:00 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:11:00 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:11:00 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:11:00 ||| SENDER-3     ||  DATA BIT SEND -1
